English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
cereal,谷物,[sound:6c267891e1fd60d7_uk.mp3],[sound:d064cd4c7596cdf8_us.mp3],"I like eating <span style=""color:red;""><b>cereal</b></span> for lunch.",我午餐喜欢吃麦片。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
chair,椅子,[sound:15d3080270664d8a_uk.mp3],[sound:7ac2b59679a7daa1_us.mp3],"I can see a <span style=""color:red;""><b>chair</b></span> here.",我可以看到这里有一把椅子。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
cheese,奶酪,[sound:46001a23e4629bab_uk.mp3],[sound:93a2d10a858bc894_us.mp3],"I like eating <span style=""color:red;""><b>cheese</b></span> for lunch.",我午餐喜欢吃奶酪。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
chemist('s),化学家,[sound:485400ec70d49c02_uk.mp3],[sound:2d922f02367f9a0f_us.mp3],"We can go to the <span style=""color:red;""><b>chemist</b></span> today.",我们今天可以去药店。,易错（tricky）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
chicken,鸡,[sound:ad32b8f05c92b823_uk.mp3],[sound:47b2f1cc79120709_us.mp3],"I like eating <span style=""color:red;""><b>chicken</b></span> for lunch.",我午餐喜欢吃鸡肉。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
chips (US fries),筹码,[sound:730e6b846449629b_uk.mp3],[sound:01bb4e17d058971c_us.mp3],"We can use ""<span style=""color:red;""><b>chips</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“芯片”。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
chocolate,巧克力,[sound:40571e042c3de420_uk.mp3],[sound:957a1fba37fa696e_us.mp3],"I like eating <span style=""color:red;""><b>chocolate</b></span> for lunch.",我午餐喜欢吃巧克力。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
cinema,电影,[sound:4a0a6b71f9430a07_uk.mp3],[sound:e1b08df5e6714bbe_us.mp3],"We can go to the <span style=""color:red;""><b>cinema</b></span> today.",今天我们可以去看电影。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
city,城市,[sound:e4083e39c4338a99_uk.mp3],[sound:7b9eeca8c30815e0_us.mp3],"We can go to the <span style=""color:red;""><b>city</b></span> today.",今天我们可以进城了。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
class,班级,[sound:4a04bd5f039c04e2_uk.mp3],[sound:3b1934bc3835ab7a_us.mp3],"I can see the <span style=""color:red;""><b>class</b></span> in my classroom.",我可以看到我教室里的课程。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
classmate,同学,[sound:1988d164866f4c58_uk.mp3],[sound:dafa46f366d7ba3c_us.mp3],"I can see a <span style=""color:red;""><b>classmate</b></span> here.",我在这里看到一个同学。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
classroom,课堂,[sound:280190cc0597067e_uk.mp3],[sound:01ab06e91b5b1440_us.mp3],"I can see the <span style=""color:red;""><b>classroom</b></span> in my classroom.",我可以在我的教室里看到教室。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
clean,干净的,[sound:381334ef3d4cf10c_uk.mp3],[sound:94aedd805a3c2ec0_us.mp3],"I can <span style=""color:red;""><b>clean</b></span> it after school.",放学后我可以清理它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
close,关闭,[sound:156a1e2c11daa795_uk.mp3],[sound:017a7aa9a3dcaed7_us.mp3],"I can <span style=""color:red;""><b>close</b></span> it after school.",放学后我可以关闭它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
clothes,衣服,[sound:4eeec3b031a15041_uk.mp3],[sound:0f5a196fa3244450_us.mp3],"I can see a <span style=""color:red;""><b>clothes</b></span> here.",我可以在这里看到一件衣服。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
cloud,云,[sound:61a444f339155b47_uk.mp3],[sound:fddd83f890f31b13_us.mp3],"I can see a <span style=""color:red;""><b>cloud</b></span> here.",我在这里可以看到一朵云。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
coconut,椰子,[sound:b8e853603e7ea145_uk.mp3],[sound:46e46bbe9489bb98_us.mp3],"I like eating <span style=""color:red;""><b>coconut</b></span> for lunch.",我午餐喜欢吃椰子。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
cold,寒冷的,[sound:160ca372b9b11b2d_uk.mp3],[sound:31cebaf2adc13282_us.mp3],"This is a <span style=""color:red;""><b>cold</b></span> one.",这是一个冷的。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
colour (US color),颜色,[sound:37cb2a3cff374a99_uk.mp3],[sound:4470d2e908616403_us.mp3],"We can use ""<span style=""color:red;""><b>colour</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“颜色”。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
come,来,[sound:9334173a15b9d021_uk.mp3],[sound:7a933dd23fb20636_us.mp3],"I can <span style=""color:red;""><b>come</b></span> it after school.",放学后我可以来。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
competition,竞赛,[sound:c0c7c14009f2d7d0_uk.mp3],[sound:da0f43690a1a4673_us.mp3],"I can see a <span style=""color:red;""><b>competition</b></span> here.",我可以在这里看到一场比赛。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
computer,电脑,[sound:878d7bea519c76d7_uk.mp3],[sound:a1d7ff2dad7e3cb0_us.mp3],"I can see the <span style=""color:red;""><b>computer</b></span> in my classroom.",我可以在教室里看到电脑。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
conversation,对话,[sound:61493684399003cc_uk.mp3],[sound:f3194ede062f11fd_us.mp3],"I can see a <span style=""color:red;""><b>conversation</b></span> here.",我可以在这里看到一段对话。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
cook,厨师,[sound:2901ba69616bbf20_uk.mp3],[sound:a982e146ced68473_us.mp3],"I can <span style=""color:red;""><b>cook</b></span> it after school.",放学后我可以做饭。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
cookie (UK biscuit),曲奇饼,[sound:2462fe58ff239200_uk.mp3],[sound:18c9eeddbd3fea87_us.mp3],"We can use ""<span style=""color:red;""><b>cookie</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“cookie”。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
count,数数,[sound:9a51a4ec64bf2361_uk.mp3],[sound:5b3e82d0382e3334_us.mp3],"I can <span style=""color:red;""><b>count</b></span> it after school.",放学后我可以数一下。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
country,国家,[sound:cf42538f23a468f1_uk.mp3],[sound:a733849b0d49817d_us.mp3],"We can go to the <span style=""color:red;""><b>country</b></span> today.",今天我们可以去乡下。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
countryside,农村,[sound:598836cbdb8c9f55_uk.mp3],[sound:18d205bd1c429125_us.mp3],"I can see a <span style=""color:red;""><b>countryside</b></span> here.",我在这里可以看到乡村。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
cow,奶牛,[sound:ddec40688128d2cc_uk.mp3],[sound:04e57baf372d8684_us.mp3],"I can see a <span style=""color:red;""><b>cow</b></span> at the zoo.",我可以在动物园看到一头牛。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
crocodile,鳄鱼,[sound:b1a9016661008c4c_uk.mp3],[sound:41fb3a992002d36d_us.mp3],"I can see a <span style=""color:red;""><b>crocodile</b></span> at the zoo.",我可以在动物园看到鳄鱼。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
cross,叉,[sound:130c48c450871666_uk.mp3],[sound:1b40dbb2d25f12c1_us.mp3],"I can see a <span style=""color:red;""><b>cross</b></span> here.",我可以在这里看到一个十字架。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
cry,哭,[sound:2233d197d3fa33dd_uk.mp3],[sound:0d1c9cd06a79b15c_us.mp3],"I can see a <span style=""color:red;""><b>cry</b></span> here.",我在这里看到有人在哭泣。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
cup,杯子,[sound:191bdd3305507905_uk.mp3],[sound:1ed8e52b0ade2e25_us.mp3],"I can see a <span style=""color:red;""><b>cup</b></span> here.",我可以在这里看到一个杯子。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
cut,切,[sound:73e612e21cd89318_uk.mp3],[sound:91b0d24d0168239a_us.mp3],"I can see a <span style=""color:red;""><b>cut</b></span> here.",我可以看到这里有一个切口。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
dad,爸爸,[sound:2522bab7cea91d32_uk.mp3],[sound:a838c66ad4460b83_us.mp3],"I can see a <span style=""color:red;""><b>dad</b></span> here.",我可以在这里看到爸爸。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
David,大卫,[sound:346ad25693771b07_uk.mp3],[sound:2fde718a61c1d3ea_us.mp3],"I can see a <span style=""color:red;""><b>david</b></span> here.",我可以在这里看到大卫。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
day,天,[sound:45eba842e519c1a4_uk.mp3],[sound:4d5dec2ec0d79d69_us.mp3],"I can see a <span style=""color:red;""><b>day</b></span> here.",我可以在这里看到一天。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
December,十二月,[sound:717dfe5e4deb64e9_uk.mp3],[sound:f9dbd827596f6969_us.mp3],"We will talk about <span style=""color:red;""><b>december</b></span> in class today.",今天我们将在课堂上讨论十二月。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
delicious,可口的,[sound:f184b7906b21f804_uk.mp3],[sound:d8684c4a7d2e2e60_us.mp3],"I can see a <span style=""color:red;""><b>delicious</b></span> here.",我在这里可以看到好吃的。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
dictionary,字典,[sound:aa13643af59ecbbc_uk.mp3],[sound:854fe80c79127bdf_us.mp3],"I can see the <span style=""color:red;""><b>dictionary</b></span> in my classroom.",我可以在教室里看到字典。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
do,做,[sound:580582ded61e96d7_uk.mp3],[sound:7705b69a440573ba_us.mp3],"I can see a <span style=""color:red;""><b>do</b></span> here.",我可以在这里看到一个做法。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
dog,狗,[sound:9d26acf65927b731_uk.mp3],[sound:cbbd7f57076025a6_us.mp3],"I can see a <span style=""color:red;""><b>dog</b></span> at the zoo.",我可以在动物园看到一只狗。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
dolphin,海豚,[sound:ce68bf8c3f707d9f_uk.mp3],[sound:89a3bec152b02451_us.mp3],"I can see a <span style=""color:red;""><b>dolphin</b></span> at the zoo.",我可以在动物园看到海豚。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
donkey,驴,[sound:318b74024fa7bd32_uk.mp3],[sound:c0bb1b6b32985da8_us.mp3],"I can see a <span style=""color:red;""><b>donkey</b></span> at the zoo.",我可以在动物园看到一头驴。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
draw,画,[sound:779867d6b7e0829a_uk.mp3],[sound:308e8bb25d7e79f3_us.mp3],"I can <span style=""color:red;""><b>draw</b></span> it after school.",放学后我可以画它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
dress,裙子,[sound:e773d59e53cfa67a_uk.mp3],[sound:da17c3e7694d9b1b_us.mp3],"I can see a <span style=""color:red;""><b>dress</b></span> here.",我可以在这里看到一件衣服。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
drink,喝,[sound:5fa406aba4e54e45_uk.mp3],[sound:8b53a4a743e5ed14_us.mp3],"I can <span style=""color:red;""><b>drink</b></span> it after school.",放学后我可以喝。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
drive,驾驶,[sound:4d935e48ac8e1a9d_uk.mp3],[sound:e2cc6b6f19e4da72_us.mp3],"I can <span style=""color:red;""><b>drive</b></span> it after school.",放学后我可以开车。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
dry,干燥,[sound:7730d0639e58f288_uk.mp3],[sound:c0fdb85b1b350833_us.mp3],"I can see a <span style=""color:red;""><b>dry</b></span> here.",我可以看到这里干燥。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
duck,鸭子,[sound:5de8fde575d63723_uk.mp3],[sound:9841f1258d93948a_us.mp3],"I can see a <span style=""color:red;""><b>duck</b></span> at the zoo.",我可以在动物园看到一只鸭子。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
eagle,鹰,[sound:e9148bd91c9f855b_uk.mp3],[sound:c4e134a03acbfb5f_us.mp3],"I can see a <span style=""color:red;""><b>eagle</b></span> at the zoo.",我在动物园看到一只鹰。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
ear,耳朵,[sound:097534221da83c9e_uk.mp3],[sound:73f1ddfd1d6af115_us.mp3],"I can see an <span style=""color:red;""><b>ear</b></span> here.",我在这里看到一只耳朵。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
easy,简单的,[sound:f99c46be35cd5856_uk.mp3],[sound:7f6d04d58461d81a_us.mp3],"This is a <span style=""color:red;""><b>easy</b></span> one.",这是一件容易的事。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
eat,吃,[sound:6a1430de7c69f4fe_uk.mp3],[sound:3a9fb5ad1948ffea_us.mp3],"I can <span style=""color:red;""><b>eat</b></span> it after school.",放学后我可以吃。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
egg,蛋,[sound:d878fd3b87897228_uk.mp3],[sound:fc6181c9fc2d4f9b_us.mp3],"I can see an <span style=""color:red;""><b>egg</b></span> here.",我在这里可以看到一个鸡蛋。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
elephant,大象,[sound:1282c3ae868bff8a_uk.mp3],[sound:567e586c8069d517_us.mp3],"I can see a <span style=""color:red;""><b>elephant</b></span> at the zoo.",我可以在动物园看到一头大象。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
Emma,艾玛,[sound:66886ee8806ab20a_uk.mp3],[sound:426866f54f4398ce_us.mp3],"I can see an <span style=""color:red;""><b>emma</b></span> here.",我可以在这里看到艾玛。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
end,结尾,[sound:4089fb13b3c416c3_uk.mp3],[sound:cf45f82231bb9389_us.mp3],"I can see an <span style=""color:red;""><b>end</b></span> here.",我可以看到这里结束了。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
English,英语,[sound:a04674b6e3b7818d_uk.mp3],[sound:1060d7a2c8a893dc_us.mp3],"I can see an <span style=""color:red;""><b>english</b></span> here.",我在这里可以看到英文。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
environment,环境,[sound:d2d0dcb0f16a43b0_uk.mp3],[sound:3c1f5a99cfd6b84e_us.mp3],"I can see an <span style=""color:red;""><b>environment</b></span> here.",我可以看到这里的环境。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
eraser (UK rubber),橡皮,[sound:5bae314ee5ee78ed_uk.mp3],[sound:3fde016502a055af_us.mp3],"We can use ""<span style=""color:red;""><b>eraser</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“橡皮擦”。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
evening,晚上,[sound:86d216d7fd195cf2_uk.mp3],[sound:baede3004c0f7bc9_us.mp3],"We will talk about <span style=""color:red;""><b>evening</b></span> in class today.",我们今天将在课堂上讨论晚上的事情。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
everywhere,到处,[sound:32f2a645b0ddad95_uk.mp3],[sound:0c578710ceb104b1_us.mp3],"I can see an <span style=""color:red;""><b>everywhere</b></span> here.",我在这里到处都能看到。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
eye,眼睛,[sound:9f259d078722c451_uk.mp3],[sound:1cffda711643fdb2_us.mp3],"I can see an <span style=""color:red;""><b>eye</b></span> here.",我在这里看到一只眼睛。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
face,脸,[sound:d38200d5ba0f9394_uk.mp3],[sound:1e586ff6d70a7e11_us.mp3],"I can see a <span style=""color:red;""><b>face</b></span> here.",我可以在这里看到一张脸。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
family,家庭,[sound:9ef441c3999117d3_uk.mp3],[sound:761e85702846644c_us.mp3],"I can see a <span style=""color:red;""><b>family</b></span> here.",我可以在这里看到一个家庭。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
far,远的,[sound:65f4d77f02615a8f_uk.mp3],[sound:18315314aba11d8e_us.mp3],"I can see a <span style=""color:red;""><b>far</b></span> here.",我在这里可以看到很远的地方。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
farm,农场,[sound:eb64de5dc8007d2e_uk.mp3],[sound:fa399b6d69d16ae8_us.mp3],"We can go to the <span style=""color:red;""><b>farm</b></span> today.",今天我们可以去农场。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
fat,胖的,[sound:5d005e1c0c2d2a0d_uk.mp3],[sound:20f7cf12ca8f8155_us.mp3],"I can see a <span style=""color:red;""><b>fat</b></span> here.",我在这里看到了一个胖子。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
February,二月,[sound:cdb781cab6870c8c_uk.mp3],[sound:2bbc1518dc297001_us.mp3],"We will talk about <span style=""color:red;""><b>february</b></span> in class today.",今天我们将在课堂上讨论二月。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
field,场地,[sound:098a033ec98cdb8c_uk.mp3],[sound:200a344194c926b2_us.mp3],"I can see a <span style=""color:red;""><b>field</b></span> here.",我可以看到这里有一块田地。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
film (US movie),电影,[sound:11ea5db5fbcc1125_uk.mp3],[sound:33c403805a9005de_us.mp3],"We can use ""<span style=""color:red;""><b>film</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“电影”。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
find,寻找,[sound:2df48e0268508083_uk.mp3],[sound:590aad3ef3561f4d_us.mp3],"I can <span style=""color:red;""><b>find</b></span> it after school.",放学后我可以找到它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
find out,查出,[sound:f55424cce9aebd15_uk.mp3],[sound:92b86cfe1c762a04_us.mp3],"We want to <span style=""color:red;""><b>find out</b></span> the answer.",我们想找出答案。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
finish,结束,[sound:59b52d5dee6a6f92_uk.mp3],[sound:6ac58ebefbee47bf_us.mp3],"I can <span style=""color:red;""><b>finish</b></span> it after school.",放学后我可以完成它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
fish,鱼,[sound:fad1f50370862a2e_uk.mp3],[sound:109e31f2018b8720_us.mp3],"I can see a <span style=""color:red;""><b>fish</b></span> at the zoo.",我可以在动物园看到一条鱼。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
fix,使固定,[sound:e4b8149e41fca34f_uk.mp3],[sound:ff1cc3d91a20cf72_us.mp3],"I can see a <span style=""color:red;""><b>fix</b></span> here.",我可以在这里看到修复。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
flashlight (UK torch),手电筒,[sound:135f98a3969a034c_uk.mp3],[sound:74887b92a407f767_us.mp3],"We can use ""<span style=""color:red;""><b>flashlight</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“手电筒”。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
flower,花,[sound:26be1cd7e4cbbee1_uk.mp3],[sound:476126d501d81021_us.mp3],"I can see a <span style=""color:red;""><b>flower</b></span> here.",我可以在这里看到一朵花。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
fly,飞,[sound:5e5e3003cfb115c5_uk.mp3],[sound:0b95f6855f7a3952_us.mp3],"I can see a <span style=""color:red;""><b>fly</b></span> here.",我在这里看到一只苍蝇。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
fog,多雾路段,[sound:e1eabed8e304bae2_uk.mp3],[sound:07a03af317395806_us.mp3],"I can see a <span style=""color:red;""><b>fog</b></span> here.",我可以看到这里有雾。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
food,食物,[sound:7dceb247592498e3_uk.mp3],[sound:489921fc21e73df8_us.mp3],"I can see a <span style=""color:red;""><b>food</b></span> here.",我可以在这里看到食物。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
